ID	OFFSet	Org. String	TA. String
0	414	MenuStrip	メニューストリップ
1	803	Settings Button	設定ボタン
2	1139	Play	遊ぶ
3	1478	New Button	新しいボタン
4	1837	Emergency	緊急
5	2201	fdsafsd	翻訳
6	2548	Pause	一時停止
7	2736	Exit	出口
8	2922	Logger Settings	ロガー設定
9	3193	LogRate(ms)	ログレート(ミリ秒)
10	3590	Logging Source	ログソース
11	4014	Time Stamp	タイムスタンプ
12	4340	"Sample Mode:	Universal	 with 100.0ms"	サンプルモード: ユニバーサル、100.0ms
13	4582	CoreExRef	コアExRef
14	5036		
15	5228	SeqOnTest	シーケンスオンテスト
16	5729	Password	パスワード
17	5961	Licensed	ライセンス
18	6156	LicCheck	ライセンスチェック
19	6354	License Mon	ライセンス月
20	6677	lis	リス
21	6998	SerialNumber	シリアルナンバー
22	7330	FileSystemType	ファイルシステムタイプ
23	7660	VolumeName	ボリューム名
24	7995	Drive Type	ドライブタイプ
25	8280	Drive ID	ドライブID
26	8552	main_soc_controls	メイン_soc_コントロール
27	8897	Label.Text	ラベル.テキスト
28	9166	charge_table	料金表
29	9380	Numeric Control	数値制御
30	9616	SystemTimer	システムタイマー
31	9857	Next Step	次のステップ
32	10202	Navigate Tree:Get Next Item	ツリーをナビゲート:次の項目を取得
33	10474	CtlRef	制御参照
34	10743	Tree	木
35	11582	XML File Path(duplicate)	XML ファイル パス (重複)
36	12433	C-D Mon.	CD 月曜日
37	12672	Temp.	温度。
38	12889	Humidity	湿度
39	13256	Viewer	閲覧者
40	13476		
41	13773	Power(W)	電力(W)
42	14009	Current(A)	電流(A)
43	14247	Voltage(V)	電圧(V)
44	14511	Elapsed Time	経過時間
45	14742	Step Elapsed	経過ステップ
46	14971	Loop-Round	ループラウンド
47	15283	Action Step Info.	アクションステップ情報。
48	15724		
49	16402	ref main_Soc	参照 main_Soc
50	16637	Battery Spec.:	バッテリー仕様:
51	16923	Capacity(mAh)	容量(mAh)
52	17178	Vo(V)	ヴォ(V)
53	17406	Vcharge(V)	電圧(V)
54	17644	InitCap(%)	初期キャップ(%)
55	17880	Capacity(Wh)	容量(Wh)
56	18137	Full(V)	フル(V)
57	18390	Empty(V)	空(V)
58	18643		
59	19052	Test Mode	テストモード
60	19271	Mon	月曜日
61	19554	Batt. ?皚	バット。?皚
62	19805	Enable	有効にする
63	28027	Channel	チャネル
64	28285	Operation	手術
65	28666	Mode	モード
66	28898	SoC_Out(%)	SoC_アウト(%)
67	29136	C-Rate(C)	Cレート(C)
68	29606		
69	30129	Action	アクション
70	30462	Delay                              s	遅延
71	30834	ESR Sampling (S)	ESRサンプリング（S）
72	31142	End Condition (A)	終了条件（A）
73	31409	Cluster	クラスタ
74	31898	Actions	アクション
75	32422	Model:	モデル：
76	32957	Status	状態
77	33329	Actions	アクション
78	33621	Volt:	ボルト：
79	33870	Curr:	現在:
80	34118	Pow:	捕虜：
81	34713	SocSTAT	ソシエテ統計
82	35662	Chart_SOC	チャート_SOC
83	36844	Chart IVP	チャートIVP
84	37476	SOC	ソシエテ
85	38350	ISO 12405	12405 認証
86	39031		
87	39527	DCIR Test Lists	DCIR テスト リスト
88	39970	Add Button	追加ボタン
89	40317	Remove Button	削除ボタン
90	40826	DAQ::""LR8450-01""	DAQ::""LR8450-01""
91	41351		
92	42035	Command:	指示：
93	42285	Source	ソース
94	42565	SubID	サブID
95	42885	Ver.	ver.
96	43243	SN	SN
97	43602	Model	モデル
98	43971	Manufacturer	メーカー
99	44459	Phy IO:	物理IO:
100	44784	Setting	設定
101	45078	Load	負荷
102	45356	SubID	サブID
103	45676	Ver.	ver.
104	46034	SN	SN
105	46393	Model	モデル
106	46762	Manufacturer	メーカー
107	47250	Phy IO:	物理IO:
108	47575	Setting	設定
109	47872	Chamber(Disabled)	チャンバー(無効)
110	48163	SubID	サブID
111	48483	Ver.	ver.
112	48841	SN	SN
113	49200	Model	モデル
114	49569	Manufacturer	メーカー
115	50057	Phy IO:	物理IO:
116	50382	Setting	設定
117	50679	IO Ctrl	IO 制御
118	50960	SubID	サブID
119	51280	Ver.	ver.
120	51638	SN	SN
121	51997	Model	モデル
122	52366	Manufacturer	メーカー
123	52653	Phy IO:	物理IO:
124	52978	Setting	設定
125	53272	Comm(Disabled)	通信(無効)
126	53560	SubID	サブID
127	53880	Ver.	ver.
128	54238	SN	SN
129	54597	Model	モデル
130	54966	Manufacturer	メーカー
131	55454	Phy IO:	物理IO:
132	55779	Setting	設定
133	56072	DAQ	データ収集
134	56349	SubID	サブID
135	56669	Ver.	ver.
136	57027	SN	SN
137	57386	Model	モデル
138	57755	Manufacturer	メーカー
139	58243	Phy IO:	物理IO:
140	58568	Setting	設定
141	58868	PowerMeter	パワーメーター
142	59152	SubID	サブID
143	59472	Ver.	ver.
144	59830	SN	SN
145	60189	Model	モデル
146	60558	Manufacturer	メーカー
147	61046	Phy IO:	物理IO:
148	61371	Setting	設定
149	61801	InstScan	インストスキャン
150	62079	Available Inst. Lists:	利用可能な施設リスト:
151	62976	Can_Log List	Can_Log リスト
152	63939	CAN Setting	CAN設定
153	65593	VisDisplay	表示ディスプレイ
154	66033	Multicolumn Listbox	複数列リストボックス
155	67638	Waveform Graph 13	波形グラフ13
156	69330	Waveform Graph 12	波形グラフ12
157	71022	Waveform Graph 11	波形グラフ11
158	72714	Waveform Graph 10	波形グラフ10
159	74405	Waveform Graph 9	波形グラフ9
160	76095	Waveform Graph 8	波形グラフ8
161	77785	Waveform Graph 7	波形グラフ7
162	79514	Waveform Graph 6	波形グラフ6
163	81204	Waveform Graph 5	波形グラフ5
164	82894	Waveform Graph 4	波形グラフ4
165	84584	Waveform Graph 3	波形グラフ3
166	86255	Waveform Graph 2	波形グラフ2
167	87943	Waveform Graph	波形グラフ
168	89067	InputMeas Refnum	入力測定Refnum
169	89275	Power	力
170	89618	Setting	設定
171	89837	SubID	サブID
172	90129	Ver.	ver.
173	90418	SN	SN
174	90708	Model	モデル
175	91008	Manufacturer	メーカー
176	91441	IO	IO
177	91713	OutputMeas Refnum	出力測定Refnum
178	91923	Power	力
179	92266	Setting	設定
180	92485	SubID	サブID
181	92777	Ver.	ver.
182	93066	SN	SN
183	93356	Model	モデル
184	93656	Manufacturer	メーカー
185	94089	IO	IO
186	94345	SystemState	システム状態
187	94607	Cluster	クラスタ
188	94874	Value	価値
189	95180	Direction	方向
190	95476	Name	名前
191	95777	OP Info	OP情報
192	96263		
193	96779	Battery Model:	バッテリーモデル:
194	97095	Lot No.	ロットNo.
195	97444	FileName:	ファイル名：
196	97927		
197	98413	Department:	部門：
198	98857		
199	99343	Operator:	オペレーター：
200	99735	ExecSeqList	実行シーケンスリスト
201	100241	discharge_table	退院表
202	100458	Numeric Control	数値制御
